AAA,123,169
BAA,169,107
CAA,107,56
DAA,56,133
EAA,133,150
FAA,150,140
GAA,140,153
HAA,153,102
IAA,102,85
JAA,85,112
KAA,112,56
LAA,56,99
MAA,99,175
NAA,175,63
OAA,63,165
PAA,165,111
QAA,111,102
RAA,102,160
SAA,160,196
TAA,196,175
UAA,175,163
VAA,163,78
WAA,78,193
XAA,193,163
YAA,163,102
ZAA,102,152
ABA,152,178
BBA,178,161
CBA,161,100
DBA,100,145
EBA,145,55
FBA,55,79
GBA,79,90
HBA,90,170
IBA,170,186
JBA,186,51
KBA,51,166
LBA,166,143
MBA,143,61
NBA,61,141
OBA,141,152
PBA,152,196
QBA,196,111
RBA,111,127
SBA,127,136
TBA,136,110
UBA,110,111
VBA,111,189
WBA,189,99
XBA,99,70
YBA,70,85
ZBA,85,83
ACA,83,157
BCA,157,75
CCA,75,171
DCA,171,64
ECA,64,175
FCA,175,192
GCA,192,115
HCA,115,109
ICA,109,93
JCA,93,194
KCA,194,132
LCA,132,180
MCA,180,134
NCA,134,130
OCA,130,110
PCA,110,68
QCA,68,62
RCA,62,148
SCA,148,79
TCA,79,137
UCA,137,152
VCA,152,66
WCA,66,126
XCA,126,171
YCA,171,185
ZCA,185,160
ADA,160,62
BDA,62,137
CDA,137,114
DDA,114,70
EDA,70,86
FDA,86,79
GDA,79,143
HDA,143,69
IDA,69,81
JDA,81,128
KDA,128,173
LDA,173,55
MDA,55,138
NDA,138,143
ODA,143,68
PDA,68,120
QDA,120,82
RDA,82,77
SDA,77,148
TDA,148,74
UDA,74,101
VDA,101,75
WDA,75,151
XDA,151,176
YDA,176,108
ZDA,108,151
AEA,151,75
BEA,75,185
CEA,185,105
DEA,105,109
EEA,109,92
FEA,92,106
GEA,106,167
HEA,167,108
IEA,108,149
JEA,149,153
KEA,153,108
LEA,108,181
MEA,181,126
NEA,126,177
OEA,177,121
PEA,121,129
QEA,129,122
REA,122,56
SEA,56,124
TEA,124,55
UEA,55,104
VEA,104,149
WEA,149,155
XEA,155,121
YEA,121,170
ZEA,170,54
AFA,54,147
BFA,147,111
CFA,111,75
DFA,75,159
EFA,159,101
FFA,101,168
GFA,168,168
HFA,168,77
IFA,77,199
JFA,199,92
KFA,92,58
LFA,58,149
MFA,149,81
NFA,81,164
